Region,Activity,Participation_Rate
Burdekin,Offshore Fishing,44.2
Burdekin,Boating (Hired),37.8
Burdekin,Diving / Snorkelling,66.6
Burdekin,Wildlife Watching,83.2
Burdekin,Shore Fishing,42.0
Burnett Mary,Offshore Fishing,39.4
Burnett Mary,Boating (Hired),41.0
Burnett Mary,Diving / Snorkelling,76.6
Burnett Mary,Wildlife Watching,91.5
Burnett Mary,Shore Fishing,40.4
Cape York,Offshore Fishing,78.6
Cape York,Boating (Hired),28.6
Cape York,Diving / Snorkelling,85.7
Cape York,Wildlife Watching,100.0
Cape York,Shore Fishing,50.0
Fitzroy,Offshore Fishing,51.9
Fitzroy,Boating (Hired),41.7
Fitzroy,Diving / Snorkelling,77.0
Fitzroy,Wildlife Watching,84.5
Fitzroy,Shore Fishing,54.0
Mackay Whitsunday,Offshore Fishing,55.9
Mackay Whitsunday,Boating (Hired),28.8
Mackay Whitsunday,Diving / Snorkelling,69.9
Mackay Whitsunday,Wildlife Watching,89.0
Mackay Whitsunday,Shore Fishing,47.0
Wet Tropics,Offshore Fishing,42.0
Wet Tropics,Boating (Hired),48.7
Wet Tropics,Diving / Snorkelling,76.3
Wet Tropics,Wildlife Watching,89.5
Wet Tropics,Shore Fishing,39.2
