GBR_ID,GBR_NAME,NRM_REGION,LONGITUDE,LATITUDE,REPORT_YEAR,MEAN_LIVE_CORAL,MEAN_DEAD_CORAL,MEAN_COTS_PER_TOW
22093,Abrahams Reef,Mackay Whitsunday,152.487488,-22.100828,2018,20.9,14.2,0.41
22093,Abrahams Reef,Mackay Whitsunday,152.487488,-22.100828,2019,25.5,13.9,0.19
22093,Abrahams Reef,Mackay Whitsunday,152.487488,-22.100828,2020,12.3,28.7,1.03
22093,Abrahams Reef,Mackay Whitsunday,152.487488,-22.100828,2021,24.8,16.3,1.73
22093,Abrahams Reef,Mackay Whitsunday,152.487488,-22.100828,2022,25.8,12.9,2.22
22093,Abrahams Reef,Mackay Whitsunday,152.487488,-22.100828,2023,24.7,14.9,0.8
21434,Heralds Prong No 3,Mackay Whitsunday,151.382553,-21.607319,2018,44.1,11.3,1.21
21434,Heralds Prong No 3,Mackay Whitsunday,151.382553,-21.607319,2019,49.1,15.9,1.23
21434,Heralds Prong No 3,Mackay Whitsunday,151.382553,-21.607319,2020,31.2,23.0,1.94
21434,Heralds Prong No 3,Mackay Whitsunday,151.382553,-21.607319,2021,44.4,16.4,1.66
21434,Heralds Prong No 3,Mackay Whitsunday,151.382553,-21.607319,2022,48.9,20.6,2.11
21434,Heralds Prong No 3,Mackay Whitsunday,151.382553,-21.607319,2023,47.0,8.1,1.44
21504,Whitsunday Shoal 21-504,Mackay Whitsunday,152.087723,-21.695858,2018,27.6,14.7,1.41
21504,Whitsunday Shoal 21-504,Mackay Whitsunday,152.087723,-21.695858,2019,27.5,18.3,1.22
21504,Whitsunday Shoal 21-504,Mackay Whitsunday,152.087723,-21.695858,2020,20.0,23.6,1.43
21504,Whitsunday Shoal 21-504,Mackay Whitsunday,152.087723,-21.695858,2021,30.9,16.6,1.55
21504,Whitsunday Shoal 21-504,Mackay Whitsunday,152.087723,-21.695858,2022,27.2,6.3,2.67
21504,Whitsunday Shoal 21-504,Mackay Whitsunday,152.087723,-21.695858,2023,33.6,12.3,1.54
21610,Whitsunday Patch 21-1040,Mackay Whitsunday,151.714523,-21.122414,2018,31.4,11.2,0.84
21610,Whitsunday Patch 21-1040,Mackay Whitsunday,151.714523,-21.122414,2019,35.8,16.8,1.18
21610,Whitsunday Patch 21-1040,Mackay Whitsunday,151.714523,-21.122414,2020,28.3,20.0,1.79
21610,Whitsunday Patch 21-1040,Mackay Whitsunday,151.714523,-21.122414,2021,33.9,15.6,1.6
21610,Whitsunday Patch 21-1040,Mackay Whitsunday,151.714523,-21.122414,2022,33.5,12.5,1.98
21610,Whitsunday Patch 21-1040,Mackay Whitsunday,151.714523,-21.122414,2023,32.5,13.3,0.9
22053A,Leicester Island Reef (No 1),Mackay Whitsunday,150.434494,-22.249001,2018,31.6,20.2,0.55
22053A,Leicester Island Reef (No 1),Mackay Whitsunday,150.434494,-22.249001,2019,32.6,12.1,1.67
22053A,Leicester Island Reef (No 1),Mackay Whitsunday,150.434494,-22.249001,2020,20.2,22.8,2.17
22053A,Leicester Island Reef (No 1),Mackay Whitsunday,150.434494,-22.249001,2021,32.8,12.3,1.09
22053A,Leicester Island Reef (No 1),Mackay Whitsunday,150.434494,-22.249001,2022,33.6,15.8,1.25
22053A,Leicester Island Reef (No 1),Mackay Whitsunday,150.434494,-22.249001,2023,30.6,12.2,1.0
21546,Whitsunday Bank 21-546,Mackay Whitsunday,152.492615,-21.930861,2018,39.6,14.5,0.45
21546,Whitsunday Bank 21-546,Mackay Whitsunday,152.492615,-21.930861,2019,38.1,15.9,1.1
21546,Whitsunday Bank 21-546,Mackay Whitsunday,152.492615,-21.930861,2020,28.4,20.2,2.07
21546,Whitsunday Bank 21-546,Mackay Whitsunday,152.492615,-21.930861,2021,39.4,18.8,1.01
21546,Whitsunday Bank 21-546,Mackay Whitsunday,152.492615,-21.930861,2022,38.9,18.1,2.1
21546,Whitsunday Bank 21-546,Mackay Whitsunday,152.492615,-21.930861,2023,40.2,10.3,0.7
21609,Whitsunday Flat 21-1055,Mackay Whitsunday,151.708603,-21.300304,2018,30.6,15.1,1.07
21609,Whitsunday Flat 21-1055,Mackay Whitsunday,151.708603,-21.300304,2019,32.7,15.7,0.27
21609,Whitsunday Flat 21-1055,Mackay Whitsunday,151.708603,-21.300304,2020,24.7,24.5,1.62
21609,Whitsunday Flat 21-1055,Mackay Whitsunday,151.708603,-21.300304,2021,36.6,12.1,1.86
21609,Whitsunday Flat 21-1055,Mackay Whitsunday,151.708603,-21.300304,2022,38.1,13.2,2.34
21609,Whitsunday Flat 21-1055,Mackay Whitsunday,151.708603,-21.300304,2023,32.9,15.5,0.78
12071,Cape York Outer 12-071,Cape York,143.771378,-12.488822,2018,39.1,10.0,0.37
