visit_freq,actions_helpGBR,Respondent_Count
Approximately fortnightly,No action taken,61
Approximately fortnightly,Unsure,10
Approximately fortnightly,"Yes, formally",12
Approximately fortnightly,"Yes, independently",43
Approximately fortnightly,"Yes, mix of both",24
Approximately monthly,No action taken,87
Approximately monthly,Unsure,20
Approximately monthly,"Yes, formally",17
Approximately monthly,"Yes, independently",51
Approximately monthly,"Yes, mix of both",23
Approximately weekly,No action taken,63
Approximately weekly,Unsure,21
Approximately weekly,"Yes, formally",8
Approximately weekly,"Yes, independently",55
Approximately weekly,"Yes, mix of both",28
Every few months,No action taken,204
Every few months,Unsure,35
Every few months,"Yes, formally",21
Every few months,"Yes, independently",80
Every few months,"Yes, mix of both",29
More than once a week,No action taken,72
More than once a week,Unsure,16
More than once a week,"Yes, formally",39
More than once a week,"Yes, independently",116
More than once a week,"Yes, mix of both",71
Not at all,No action taken,280
Not at all,Unsure,34
Not at all,"Yes, formally",4
Not at all,"Yes, independently",15
Not at all,"Yes, mix of both",10
Once or twice,No action taken,340
Once or twice,Unsure,47
Once or twice,"Yes, formally",23
Once or twice,"Yes, independently",67
Once or twice,"Yes, mix of both",32
