Visited_Reef,Value_Category,Score
Has Visited,Biodiversity,9.338192419825074
Has Visited,Economic Value,8.597667638483966
Has Visited,Iconic Status,8.682701652089408
Has Visited,Indigenous Heritage,6.660835762876579
Has Visited,Recreation,8.63265306122449
Has Visited,Scientific Value,8.290087463556851
Never Visited,Biodiversity,8.78
Never Visited,Economic Value,8.066666666666666
Never Visited,Iconic Status,8.333333333333334
Never Visited,Indigenous Heritage,7.22
Never Visited,Recreation,7.806666666666667
Never Visited,Scientific Value,8.133333333333333
